iter	Passed	Remaining
1134	6813	2191
1135	6821	2185
1136	6827	2179
1137	6832	2173
1138	6838	2167
1139	6843	2161
1140	6849	2155
1141	6854	2148
1142	6861	2142
1143	6867	2136
1144	6871	2130
1145	6877	2124
1146	6882	2118
1147	6888	2112
1148	6894	2106
1149	6901	2100
1150	6907	2094
1151	6912	2088
1152	6918	2082
1153	6923	2075
1154	6928	2069
1155	6934	2063
1156	6941	2057
1157	6953	2053
1158	6958	2047
1159	6964	2041
1160	6970	2035
1161	6975	2029
1162	6981	2022
1163	6986	2016
1164	6991	2010
1165	6996	2004
1166	7002	1998
1167	7007	1991
1168	7013	1985
1169	7019	1979
1170	7025	1973
1171	7032	1968
1172	7037	1961
1173	7043	1955
1174	7049	1949
1175	7055	1943
1176	7061	1937
1177	7067	1931
1178	7074	1926
1179	7079	1919
1180	7084	1913
1181	7089	1907
1182	7095	1901
1183	7100	1895
1184	7105	1888
1185	7112	1882
1186	7117	1876
1187	7122	1870
1188	7127	1864
1189	7132	1858
1190	7139	1852
1191	7145	1846
1192	7150	1840
1193	7156	1834
1194	7162	1828
1195	7167	1821
1196	7174	1816
1197	7181	1810
1198	7186	1804
1199	7192	1798
1200	7197	1791
1201	7202	1785
1202	7208	1779
1203	7214	1773
1204	7219	1767
1205	7225	1761
1206	7230	1755
1207	7235	1748
1208	7241	1742
1209	7246	1736
1210	7252	1730
1211	7257	1724
1212	7262	1718
1213	7267	1712
1214	7273	1706
1215	7279	1700
1216	7284	1694
1217	7290	1688
1218	7297	1682
1219	7304	1676
1220	7309	1670
1221	7315	1664
1222	7320	1658
1223	7327	1652
1224	7333	1646
1225	7338	1640
1226	7344	1634
1227	7350	1628
1228	7356	1622
1229	7361	1616
1230	7368	1610
1231	7373	1603
1232	7379	1598
1233	7385	1592
1234	7392	1586
1235	7399	1580
1236	7406	1574
1237	7411	1568
1238	7417	1562
1239	7422	1556
1240	7428	1550
1241	7433	1544
1242	7439	1538
1243	7446	1532
1244	7452	1526
1245	7457	1520
1246	7463	1514
1247	7469	1508
1248	7475	1502
1249	7480	1496
1250	7485	1489
1251	7491	1483
1252	7497	1477
1253	7502	1471
1254	7507	1465
1255	7512	1459
1256	7518	1453
1257	7524	1447
1258	7529	1441
1259	7535	1435
1260	7541	1429
1261	7546	1423
1262	7551	1417
1263	7557	1411
1264	7563	1405
1265	7569	1399
1266	7576	1393
1267	7583	1387
1268	7588	1381
1269	7594	1375
1270	7599	1369
1271	7606	1363
1272	7612	1357
1273	7617	1351
1274	7623	1345
1275	7630	1339
1276	7636	1333
1277	7644	1327
1278	7649	1321
1279	7656	1315
1280	7662	1309
1281	7666	1303
1282	7673	1297
1283	7677	1291
1284	7682	1285
1285	7689	1279
1286	7694	1273
