iter	Accuracy	Logloss
294	0.8474938373	0.342421055
295	0.8476581758	0.342206184
296	0.8476581758	0.3421685592
297	0.8479868529	0.3420536091
298	0.8478225144	0.3417926753
299	0.8478225144	0.3416758238
300	0.8481511915	0.3413244819
301	0.8481511915	0.3412937414
302	0.84831553	0.3410832137
303	0.8489728841	0.3407204783
304	0.8496302383	0.3405546244
305	0.8494658998	0.3404357579
306	0.8494658998	0.3404290989
307	0.8494658998	0.3404128271
308	0.8494658998	0.3402703079
309	0.8494658998	0.3401278705
310	0.8499589154	0.3398789744
311	0.8496302383	0.3397340205
312	0.8497945768	0.3394871745
313	0.8499589154	0.3393574242
314	0.8496302383	0.339143149
315	0.8496302383	0.3389588713
316	0.8496302383	0.3386160694
317	0.8496302383	0.3384013252
318	0.850451931	0.3382515681
319	0.8502875924	0.3377514968
320	0.8499589154	0.3375430741
321	0.8509449466	0.3375066792
322	0.8511092851	0.3373287088
323	0.8511092851	0.3370116068
324	0.8507806081	0.3368616955
325	0.8509449466	0.3367281565
326	0.8511092851	0.3365155966
327	0.8517666393	0.3364045231
328	0.8524239934	0.3361077407
329	0.852588332	0.3359558907
330	0.852588332	0.3359300637
331	0.852917009	0.3358333402
332	0.8522596549	0.3356575542
333	0.852588332	0.3354686653
334	0.8522596549	0.3351645513
335	0.8524239934	0.3349996993
336	0.8524239934	0.3349884098
337	0.8522596549	0.334749314
338	0.852588332	0.3346543311
339	0.8527526705	0.3344684148
340	0.8524239934	0.3343571025
341	0.8524239934	0.3341171396
342	0.8524239934	0.3338952586
343	0.852917009	0.3336533962
344	0.8530813476	0.3334947742
345	0.852917009	0.333240762
346	0.8530813476	0.3330782811
347	0.8537387017	0.3328730652
348	0.8537387017	0.3328514476
349	0.8539030403	0.3326656252
350	0.8539030403	0.3325222855
351	0.8539030403	0.3324227899
352	0.8537387017	0.3323200105
353	0.8535743632	0.3319010187
354	0.8535743632	0.3316501172
355	0.8532456861	0.331283742
356	0.8532456861	0.33089598
357	0.8534100247	0.3305637889
358	0.8534100247	0.3305345344
359	0.8535743632	0.3303930649
360	0.8537387017	0.3302411533
361	0.8540673788	0.3300236403
362	0.8539030403	0.3296966375
363	0.8539030403	0.3295661767
364	0.8537387017	0.329470359
365	0.8534100247	0.3292689221
366	0.8534100247	0.3289950891
367	0.8532456861	0.3289430931
368	0.8537387017	0.3287118493
369	0.8540673788	0.3286146038
370	0.8542317173	0.3284298554
371	0.8542317173	0.3282850651
372	0.8540673788	0.328023678
373	0.8543960559	0.3278743012
374	0.8543960559	0.3277922465
375	0.8542317173	0.3276362212
376	0.8542317173	0.3274397033
377	0.8548890715	0.3271946676
378	0.85505341	0.3271347372
379	0.8552177486	0.3268956679
380	0.8552177486	0.3268652589
381	0.8548890715	0.3267473507
382	0.8547247329	0.3266202452
383	0.8547247329	0.3264513846
384	0.8548890715	0.3263493609
385	0.8552177486	0.3261986576
386	0.8560394412	0.325867061
387	0.8560394412	0.3256394663
388	0.8565324569	0.3255056165
389	0.8557107642	0.3253041294
390	0.8568611339	0.3250915615
391	0.8568611339	0.3250859674
392	0.8570254725	0.3249622612
393	0.857189811	0.3246883823
394	0.8575184881	0.3244747601
395	0.857189811	0.3242357405
396	0.8580115037	0.32411116
397	0.8580115037	0.3239725603
398	0.8580115037	0.3239410416
399	0.8581758422	0.3237580264
400	0.8583401808	0.3235822273
401	0.8581758422	0.3234567041
402	0.8581758422	0.323363388
403	0.8586688578	0.3231643268
404	0.8588331964	0.3229448882
405	0.8591618735	0.3227349076
406	0.8591618735	0.3225867448
407	0.8585045193	0.3223376731
408	0.8588331964	0.3222901222
409	0.8589975349	0.3222643311
410	0.8589975349	0.3221280992
411	0.8589975349	0.3220370518
412	0.8588331964	0.321714963
413	0.8588331964	0.3216651161
414	0.8588331964	0.3215791095
415	0.859326212	0.3213600409
416	0.8589975349	0.3213562368
417	0.8591618735	0.3212763568
418	0.859326212	0.3210608061
419	0.8596548891	0.3209417783
420	0.8598192276	0.3207719238
421	0.8598192276	0.3206501685
422	0.8598192276	0.3206063731
423	0.8599835661	0.3204627573
424	0.8601479047	0.3202255668
425	0.8603122432	0.3199163859
426	0.8601479047	0.319739057
427	0.8601479047	0.3197244295
428	0.8604765818	0.3196423975
429	0.8606409203	0.3195106573
430	0.8604765818	0.3194825754
431	0.8606409203	0.3192244764
432	0.8608052588	0.3191764117
433	0.8608052588	0.3190869527
434	0.8608052588	0.3189240688
435	0.8608052588	0.318689888
436	0.861462613	0.3185959705
437	0.8612982744	0.31848365
438	0.861462613	0.318282564
439	0.8612982744	0.3180697801
440	0.861462613	0.3179878589
441	0.8616269515	0.3178739308
442	0.861462613	0.3177233932
443	0.861462613	0.3176010951
444	0.8616269515	0.3173958611
445	0.8616269515	0.3173821136
446	0.8617912901	0.3172707615
